masterCategory,subCategory,articleType,count
Apparel,Topwear,Tshirts,7064
Apparel,Topwear,Shirts,3212
Footwear,Shoes,Casual Shoes,2845
Accessories,Watches,Watches,2542
Footwear,Shoes,Sports Shoes,2016
Apparel,Topwear,Kurtas,1844
Apparel,Topwear,Tops,1762
Accessories,Bags,Handbags,1757
Footwear,Shoes,Heels,1323
Accessories,Eyewear,Sunglasses,1073
Accessories,Wallets,Wallets,925
Footwear,Flip Flops,Flip Flops,913
Footwear,Sandal,Sandals,893
Apparel,Innerwear,Briefs,847
Accessories,Belts,Belts,810
Accessories,Bags,Backpacks,722
Accessories,Socks,Socks,686
Footwear,Shoes,Formal Shoes,637
Apparel,Bottomwear,Jeans,602
Personal Care,Fragrance,Perfume and Body Mist,597
Apparel,Bottomwear,Shorts,545
Apparel,Bottomwear,Trousers,530
Footwear,Shoes,Flats,500
Apparel,Innerwear,Bra,477
Apparel,Dress,Dresses,462
Apparel,Saree,Sarees,427
Accessories,Jewellery,Earrings,416
Personal Care,Fragrance,Deodorant,347
Apparel,Bottomwear,Track Pants,304
Accessories,Bags,Clutches,287
Apparel,Topwear,Sweatshirts,285
Accessories,Headwear,Caps,283
Personal Care,Nails,Nail Polish,278
Apparel,Topwear,Sweaters,277
Personal Care,Lips,Lipstick,260
Accessories,Ties,Ties,258
Apparel,Topwear,Jackets,258
Apparel,Innerwear,Innerwear Vests,242
Apparel,Topwear,Kurtis,234
Apparel,Topwear,Tunics,229
Apparel,Loungewear and Nightwear,Nightdress,188
Apparel,Bottomwear,Leggings,177
Accessories,Jewellery,Pendant,176
Apparel,Bottomwear,Capris,175
Accessories,Jewellery,Necklace and Chains,160
Apparel,Loungewear and Nightwear,Night suits,141
Apparel,Innerwear,Trunk,140
Apparel,Bottomwear,Skirts,128
Accessories,Scarves,Scarves,118
Accessories,Jewellery,Ring,118
Apparel,Topwear,Dupatta,116
Personal Care,Lips,Lip Gloss,109
Accessories,Cufflinks,Cufflinks,106
Accessories,Accessories,Accessory Gift Set,97
Apparel,Apparel Set,Kurta Sets,94
Free Items,Free Gifts,Free Gifts,91
Accessories,Stoles,Stoles,90
Accessories,Bags,Duffel Bag,88
Accessories,Jewellery,Bangle,85
Accessories,Bags,Laptop Bag,81
Personal Care,Makeup,Kajal and Eyeliner,78
Personal Care,Makeup,Foundation and Primer,69
Footwear,Sandal,Sports Sandals,67
Accessories,Jewellery,Bracelet,66
Apparel,Loungewear and Nightwear,Lounge Pants,61
Accessories,Jewellery,Jewellery Set,58
Personal Care,Fragrance,Fragrance Gift Set,57
Apparel,Innerwear,Boxers,52
Accessories,Bags,Mobile Pouch,47
Personal Care,Lips,Lip Liner,45
Apparel,Topwear,Suspenders,40
Personal Care,Skin,Face Moisturisers,40
Apparel,Innerwear,Camisoles,39
Personal Care,Makeup,Compact,39
Apparel,Bottomwear,Patiala,38
Personal Care,Makeup,Highlighter and Blush,38
Accessories,Mufflers,Mufflers,38
Accessories,Bags,Messenger Bag,34
Apparel,Loungewear and Nightwear,Lounge Shorts,34
Apparel,Bottomwear,Jeggings,34
Apparel,Bottomwear,Stockings,32
Apparel,Bottomwear,Salwar,32
Apparel,Bottomwear,Churidar,30
Apparel,Bottomwear,Tracksuits,29
Personal Care,Makeup,Eyeshadow,26
Accessories,Gloves,Gloves,20
