model,domain,accuracy,f1_macro,mean_confidence,confidence_on_correct,confidence_on_errors,mean_entropy,accuracy_drop,f1_drop
svm,clean,0.8665,0.8658500200812288,0.8699870442015722,0.9069393323079463,0.6301431667171297,0.3865536353071077,0.0,0.0
svm,inverted,0.1,0.01818181818181818,0.7158846115117149,0.7158846115117149,0.715884611511715,1.1000664683189338,0.7665000000000001,0.8476682018994106
svm,gray_background,0.1,0.01818181818181818,0.7158846115117149,0.7158846115117149,0.715884611511715,1.1000664683189338,0.7665000000000001,0.8476682018994106
svm,resampled_20,0.8445,0.8411813723970761,0.8546000876972354,0.8943485193910921,0.6387315953148428,0.4124801868367337,0.02200000000000002,0.024668647684152667
svm,thresholded,0.7786,0.7796855879615873,0.7382135080653183,0.7940628847966744,0.5418073440046408,0.8284569732967482,0.08790000000000009,0.08616443211964153
svm,centered_resize_24,0.6857,0.6772586443921891,0.7592340478840665,0.8215305416332954,0.623323434572433,0.6846209602185359,0.18080000000000007,0.18859137568903972
mlp,clean,0.863,0.8595461579217453,0.8731033205986023,0.9105892181396484,0.6369698643684387,0.3350997865200043,0.0,0.0
mlp,inverted,0.0919,0.017004348228328244,0.9891493916511536,0.9663529396057129,0.9914564490318298,0.03153371065855026,0.7711,0.8425418096934171
mlp,gray_background,0.313,0.2972028232434566,0.6518272757530212,0.7828357219696045,0.5921393036842346,1.1281849145889282,0.55,0.5623433346782887
mlp,resampled_20,0.8413,0.8308091091390473,0.8315977454185486,0.8779980540275574,0.5856207609176636,0.4471935033798218,0.02169999999999994,0.028737048782698005
mlp,thresholded,0.8294,0.8254053410555521,0.8967466950416565,0.9336348176002502,0.717409074306488,0.26658809185028076,0.03359999999999996,0.03414081686619319
mlp,centered_resize_24,0.6817,0.6761419488496235,0.7165824174880981,0.7959907054901123,0.5465144515037537,0.7597854733467102,0.18130000000000002,0.18340420907212174
cnn,clean,0.8964,0.8940960985950381,0.8957804441452026,0.9235967397689819,0.6551003456115723,0.2830677032470703,0.0,0.0
cnn,inverted,0.2419,0.1969340938910693,0.635117769241333,0.7210484147071838,0.6076984405517578,0.9664202928543091,0.6545,0.6971620047039688
cnn,gray_background,0.8209,0.8193178020790904,0.7206658124923706,0.770531952381134,0.4921055734157562,0.8065022826194763,0.07550000000000001,0.0747782965159477
cnn,resampled_20,0.8474,0.83640615265601,0.8262959122657776,0.8705388903617859,0.5806113481521606,0.4947001039981842,0.04899999999999993,0.0576899459390281
cnn,thresholded,0.8173,0.8127002849648128,0.8864367008209229,0.9253218173980713,0.7124857306480408,0.293891578912735,0.07909999999999995,0.0813958136302253
cnn,centered_resize_24,0.837,0.8269572024579676,0.8031396269798279,0.853874921798706,0.5426154136657715,0.5398261547088623,0.05940000000000001,0.06713889613707058
