model,corruption,mean_accuracy,min_accuracy,mean_f1,mean_accuracy_drop,max_accuracy_drop
cnn,blur,0.75485,0.6551,0.7242379204473851,0.14154999999999998,0.24129999999999996
cnn,brightness,0.86994,0.8147,0.8644329101362246,0.026459999999999994,0.0817
cnn,contrast,0.71736,0.4223,0.685220618035323,0.17903999999999998,0.47409999999999997
cnn,noise,0.76808,0.5167,0.7641480306140512,0.12831999999999996,0.3796999999999999
cnn,occlusion,0.63402,0.5048,0.5921885615800905,0.26237999999999995,0.39159999999999995
cnn,rotation,0.58576,0.2179,0.5640899881891038,0.31063999999999997,0.6785
mlp,blur,0.7994,0.7591,0.7752210765909993,0.06359999999999999,0.10389999999999999
mlp,brightness,0.8523,0.8201,0.8494870587347936,0.010699999999999977,0.04289999999999994
mlp,contrast,0.37429999999999997,0.1,0.33128233792613904,0.4887,0.763
mlp,noise,0.8241999999999999,0.73,0.8207518945618169,0.038800000000000015,0.133
mlp,occlusion,0.7138,0.6005,0.6911194589967484,0.14919999999999997,0.26249999999999996
mlp,rotation,0.50812,0.2121,0.4770926441534303,0.35488,0.6509
svm,blur,0.742275,0.6301,0.732030889398295,0.12382499999999999,0.236
svm,brightness,0.75902,0.4968,0.7457683165675276,0.10707999999999998,0.36929999999999996
svm,contrast,0.1,0.1,0.01818181818181818,0.7661,0.7661
svm,noise,0.13568,0.1,0.07946290648737148,0.73042,0.7661
svm,occlusion,0.7282,0.647,0.7128930850207309,0.13789999999999997,0.21909999999999996
svm,rotation,0.51852,0.2546,0.47607771628722706,0.34757999999999994,0.6114999999999999
