model,corruption,severity,accuracy,f1_macro,accuracy_drop,f1_drop
svm,clean,0.0,0.8661,0.8652306729599744,0.0,0.0
svm,noise,0.05,0.249,0.2676267798349502,0.6171,0.5976038931250242
svm,noise,0.1,0.1265,0.06931717966621431,0.7396,0.79591349329376
svm,noise,0.15,0.1028,0.02380382998597122,0.7633,0.8414268429740032
svm,noise,0.2,0.1001,0.01838492476790349,0.766,0.8468457481920708
svm,noise,0.3,0.1,0.01818181818181818,0.7661,0.8470488547781562
svm,rotation,5.0,0.799,0.7962171553138747,0.06709999999999994,0.06901351764609964
svm,rotation,10.0,0.6627,0.633759538725837,0.20340000000000003,0.23147113423413734
svm,rotation,20.0,0.5032,0.45726761053062087,0.3629,0.4079630624293535
svm,rotation,30.0,0.3731,0.30752113209157683,0.493,0.5577095408683975
svm,rotation,45.0,0.2546,0.1856231447742259,0.6114999999999999,0.6796075281857484
svm,blur,3.0,0.8309,0.8243591061939985,0.03520000000000001,0.04087156676597581
svm,blur,5.0,0.7902,0.7802062937796828,0.07589999999999997,0.0850243791802916
svm,blur,7.0,0.7179,0.7062105097449849,0.1482,0.15902016321498946
svm,blur,9.0,0.6301,0.6173476478745135,0.236,0.2478830250854609
svm,contrast,0.9,0.1,0.01818181818181818,0.7661,0.8470488547781562
svm,contrast,0.7,0.1,0.01818181818181818,0.7661,0.8470488547781562
svm,contrast,0.5,0.1,0.01818181818181818,0.7661,0.8470488547781562
svm,contrast,0.3,0.1,0.01818181818181818,0.7661,0.8470488547781562
svm,contrast,0.15,0.1,0.01818181818181818,0.7661,0.8470488547781562
svm,brightness,0.3,0.4968,0.4400576049843162,0.36929999999999996,0.4251730679756582
svm,brightness,0.5,0.7573,0.7507917074115659,0.10880000000000001,0.11443896554840849
svm,brightness,0.7,0.8424,0.841995373409954,0.023699999999999943,0.02323529955002035
svm,brightness,1.3,0.8559,0.8546014750156153,0.010199999999999987,0.010629197944359015
svm,brightness,1.6,0.8427,0.841395422016187,0.023399999999999976,0.023835250943787356
svm,occlusion,4.0,0.8479,0.8429203401691854,0.018199999999999994,0.022310332790788978
svm,occlusion,6.0,0.7802,0.7700928849930401,0.08589999999999998,0.09513778796693428
svm,occlusion,8.0,0.7008,0.6817777913647285,0.1653,0.18345288159524586
svm,occlusion,10.0,0.6651,0.638289775700646,0.20099999999999996,0.2269408972593283
svm,occlusion,14.0,0.647,0.6313846328760548,0.21909999999999996,0.23384604008391952
mlp,clean,0.0,0.863,0.8595461579217453,0.0,0.0
mlp,noise,0.05,0.8623,0.8588619128510626,0.0007000000000000339,0.0006842450706826542
mlp,noise,0.1,0.8568,0.8536838756504423,0.006199999999999983,0.005862282271302921
mlp,noise,0.15,0.8471,0.8436115576769261,0.015900000000000025,0.015934600244819186
mlp,noise,0.2,0.8248,0.8209706075164476,0.03820000000000001,0.0385755504052977
mlp,noise,0.3,0.73,0.7266315191142054,0.133,0.13291463880753984
mlp,rotation,5.0,0.8223,0.8154976377180441,0.04069999999999996,0.0440485202037012
mlp,rotation,10.0,0.6962,0.6777506630362279,0.16679999999999995,0.18179549488551738
mlp,rotation,20.0,0.484,0.4605445872182628,0.379,0.39900157070348247
mlp,rotation,30.0,0.326,0.27935957369095715,0.5369999999999999,0.5801865842307881
mlp,rotation,45.0,0.2121,0.15231075910365952,0.6509,0.7072353988180857
mlp,blur,3.0,0.8338,0.8189172210523307,0.029200000000000004,0.0406289368694146
mlp,blur,5.0,0.8156,0.7933980609898453,0.0474,0.06614809693189994
mlp,blur,7.0,0.7891,0.7596001665265579,0.07389999999999997,0.09994599139518734
mlp,blur,9.0,0.7591,0.7289688577952632,0.10389999999999999,0.13057730012648205
mlp,contrast,0.9,0.8577,0.8544570554544062,0.005299999999999971,0.005089102467339068
mlp,contrast,0.7,0.6029,0.5970548852499452,0.2601,0.26249127267180006
mlp,contrast,0.5,0.2107,0.16813360457961601,0.6523,0.6914125533421293
mlp,contrast,0.3,0.1002,0.018584326164909678,0.7628,0.8409618317568356
mlp,contrast,0.15,0.1,0.01818181818181818,0.763,0.8413643397399271
mlp,brightness,0.3,0.8201,0.8179535836397355,0.04289999999999994,0.0415925742820098
mlp,brightness,0.5,0.8565,0.8553515726036723,0.00649999999999995,0.00419458531807293
mlp,brightness,0.7,0.8643,0.8619555724934849,-0.0012999999999999678,-0.0024094145717395987
mlp,brightness,1.3,0.8609,0.8569075503896173,0.0020999999999999908,0.002638607532127968
mlp,brightness,1.6,0.8597,0.8552670145474579,0.0032999999999999696,0.004279143374287364
mlp,occlusion,4.0,0.8542,0.8520548351310087,0.00880000000000003,0.00749132279073661
mlp,occlusion,6.0,0.779,0.7771056345140281,0.08399999999999996,0.08244052340771713
